,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
340,salinas,100,CA,1570722407,97,50.56,-96.99,34.0,8.01
341,salinas,75,AR,1570722409,65,-34.46,-58.91,79.0,11.41
342,salinas,97,JP,1570722410,85,35.64,136.07,70.0,2.72
343,salinas,20,IT,1570722412,30,41.63,15.91,82.4,12.75
344,salinas,93,CO,1570722414,58,5.83,-72.84,63.27,1.19
345,salinas,90,AZ,1570722416,68,40.75,48.39,64.4,7.4
346,salinas,14,AR,1570722420,21,-31.67,-68.39,82.96,5.33
347,salinas,91,RU,1570722422,93,68.05,39.51,30.63,8.62
348,salinas,0,CN,1570722424,65,38.42,77.24,63.0,8.84
349,salinas,40,KM,1570722427,62,-11.38,43.28,84.2,12.75
350,salinas,75,RU,1570722428,100,56.07,37.56,46.0,8.95
351,salinas,40,RU,1570722430,68,52.21,104.21,26.6,4.47
352,salinas,32,CD,1570722432,58,3.25,19.78,84.7,2.43
353,salinas,97,RU,1570722433,88,62.71,56.19,34.07,6.72
354,salinas,40,ZA,1570722434,59,-34.04,23.05,60.8,13.87
355,salinas,40,RU,1570722437,54,50.67,113.59,19.45,9.29
356,salinas,6,NG,1570722439,51,10.41,10.6,87.12,4.57
357,salinas,75,KE,1570722440,55,1.75,40.07,87.8,6.93
358,salinas,63,RU,1570722442,79,58.07,60.71,33.71,3.03
359,salinas,50,CN,1570722443,78,26.59,101.72,63.3,2.54
360,salinas,100,IN,1570722444,97,25.66,94.1,58.46,0.61
361,salinas,40,FR,1570722445,67,48.95,4.24,62.6,13.87
362,salinas,75,NL,1570722447,76,53.17,6.61,57.0,12.75
363,salinas,100,AU,1570722448,95,-41.05,145.91,48.99,3.0
364,salinas,100,CL,1570722449,11,-30.6,-71.2,84.45,7.84
365,salinas,73,RU,1570722450,79,61.47,64.05,35.28,3.7
366,salinas,31,BS,1570722452,73,24.9,-76.2,82.0,3.94
367,salinas,94,RU,1570722453,98,61.33,40.09,36.59,4.5
368,salinas,100,RU,1570722455,75,67.46,153.71,15.58,3.84
369,salinas,100,RU,1570722456,94,64.9,45.76,33.91,6.35
370,salinas,0,BR,1570722457,23,-6.61,-39.06,97.66,8.54
371,salinas,19,BR,1570722458,50,-17.73,-39.27,84.27,13.41
372,salinas,80,BT,1570722460,91,27.91,89.73,31.17,4.76
373,salinas,20,PT,1570722461,56,37.72,-25.43,71.6,8.05
374,salinas,38,RU,1570722463,95,61.48,129.14,14.59,5.72
375,salinas,0,RU,1570722464,59,54.56,100.58,23.63,2.18
376,salinas,100,RU,1570722465,76,60.47,166.1,30.07,12.47
377,salinas,82,MR,1570722467,7,20.52,-13.05,99.75,12.91
378,salinas,100,RU,1570722468,98,67.55,63.78,33.67,12.07
379,salinas,95,NG,1570722469,82,4.92,6.26,82.8,4.64
380,salinas,90,AU,1570722470,93,-34.58,150.85,57.0,8.41
381,salinas,0,AU,1570722472,82,-32.55,115.7,62.01,1.12
382,salinas,100,EG,1570722473,13,27.27,31.15,91.65,10.82
383,salinas,90,US,1570722475,85,46.41,-105.84,25.0,17.22
384,salinas,0,IR,1570722476,19,31.03,61.49,84.2,21.92
385,salinas,0,CN,1570722477,78,29.29,121.42,71.6,4.47
386,salinas,75,MY,1570722479,94,5.82,100.48,78.8,5.82
387,salinas,100,RU,1570722480,94,59.2,37.15,42.08,5.97
388,salinas,1,US,1570722482,63,39.77,-76.68,66.99,6.93
389,salinas,99,KE,1570722484,78,-3.4,38.57,74.62,9.29
390,salinas,4,TD,1570722485,35,13.47,22.2,89.29,4.72
391,salinas,0,UA,1570722486,60,48.22,37.14,56.35,8.29
392,salinas,23,GL,1570722488,64,61.99,-49.67,38.07,14.07
393,salinas,9,PG,1570722489,73,-3.66,152.44,82.42,6.67
